,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
SEC31A,4.30E-101,0.3467623,0.788,0.427,9.62E-97,6,SEC31A
BOD11,2.31E-100,0.3138177,0.791,0.41,5.17E-96,6,BOD1
UCHL11,2.68E-100,0.3107192,0.578,0.212,6.00E-96,6,UCHL1
PDIA31,9.74E-100,0.4555214,0.96,0.74,2.18E-95,6,PDIA3
TMCO3,1.03E-99,0.2891412,0.543,0.202,2.30E-95,6,TMCO3
REC8,1.68E-99,0.3234871,0.559,0.213,3.76E-95,6,REC8
ITGB51,1.88E-99,0.2640428,0.54,0.183,4.21E-95,6,ITGB5
MAP4,2.67E-99,0.3113145,0.717,0.355,5.98E-95,6,MAP4
SERINC1,1.49E-98,0.2830354,0.7,0.325,3.33E-94,6,SERINC1
PTK7,1.28E-97,0.2900221,0.562,0.214,2.87E-93,6,PTK7
ARID5B,1.55E-97,0.345416,0.643,0.264,3.46E-93,6,ARID5B
SEC24D,1.56E-97,0.2502847,0.484,0.157,3.49E-93,6,SEC24D
PRSS231,7.13E-97,0.3746544,0.543,0.19,1.59E-92,6,PRSS23
LBH,9.16E-97,0.3976139,0.612,0.246,2.05E-92,6,LBH
PLPP3,1.07E-96,0.2679414,0.426,0.118,2.38E-92,6,PLPP3
REEP51,1.36E-96,0.3791459,0.85,0.518,3.05E-92,6,REEP5
REXO2,1.15E-95,0.4157174,0.928,0.704,2.57E-91,6,REXO2
HACD31,1.23E-95,0.3715036,0.862,0.526,2.75E-91,6,HACD3
FLNB1,2.90E-95,0.2750043,0.495,0.163,6.48E-91,6,FLNB
RSPRY1,3.04E-95,0.2874522,0.669,0.318,6.80E-91,6,RSPRY1
SAR1A,4.21E-95,0.3348525,0.888,0.589,9.43E-91,6,SAR1A
DBN11,4.65E-95,0.2949828,0.714,0.328,1.04E-90,6,DBN1
COPB2,1.29E-94,0.3028889,0.764,0.413,2.89E-90,6,COPB2
EIF4EBP11,1.57E-94,0.4786058,0.955,0.775,3.52E-90,6,EIF4EBP1
SPAG16,2.86E-94,0.2514795,0.557,0.22,6.40E-90,6,SPAG16
RPL39L,3.66E-94,0.2949296,0.612,0.253,8.18E-90,6,RPL39L
MEIS2,4.76E-94,0.3458214,0.747,0.382,1.06E-89,6,MEIS2
TP53I13,6.91E-94,0.2504445,0.61,0.257,1.55E-89,6,TP53I13
PDIA61,1.44E-93,0.4393195,0.974,0.756,3.22E-89,6,PDIA6
CD632,1.48E-93,0.5126132,0.99,0.9,3.30E-89,6,CD63
MRPS6,2.49E-93,0.39919,0.922,0.641,5.57E-89,6,MRPS6
ANKS1A,4.26E-93,0.3428619,0.429,0.134,9.52E-89,6,ANKS1A
RTL8C1,6.35E-93,0.354749,0.836,0.528,1.42E-88,6,RTL8C
TMED91,8.68E-93,0.4138795,0.943,0.712,1.94E-88,6,TMED9
FAM45A,1.15E-92,0.2976361,0.693,0.332,2.58E-88,6,FAM45A
TNFRSF12A,1.63E-92,0.3347789,0.395,0.113,3.66E-88,6,TNFRSF12A
TMBIM61,3.14E-92,0.3822317,0.974,0.781,7.03E-88,6,TMBIM6
THBD,2.34E-91,0.2869932,0.286,0.062,5.24E-87,6,THBD
CYBA2,2.90E-91,0.545061,0.971,0.731,6.50E-87,6,CYBA
SEC621,1.28E-90,0.3640955,0.957,0.735,2.86E-86,6,SEC62
HIF1A,1.03E-89,0.3304306,0.809,0.472,2.30E-85,6,HIF1A
CNIH1,1.26E-88,0.3734663,0.884,0.595,2.82E-84,6,CNIH1
LMAN1,1.83E-88,0.3844388,0.838,0.548,4.10E-84,6,LMAN1
STX18,2.19E-88,0.40331,0.548,0.227,4.90E-84,6,STX18
MORF4L2,4.09E-88,0.3496518,0.95,0.771,9.16E-84,6,MORF4L2
TAX1BP11,1.33E-87,0.3584031,0.916,0.661,2.98E-83,6,TAX1BP1
AHCYL1,1.60E-87,0.3326889,0.766,0.45,3.57E-83,6,AHCYL1
DNAJC15,2.65E-87,0.4735172,0.867,0.632,5.93E-83,6,DNAJC15
HSPA5,6.06E-87,0.4966236,0.938,0.674,1.36E-82,6,HSPA5
FAM92A,2.05E-85,0.2569015,0.624,0.287,4.58E-81,6,FAM92A
VKORC1,4.68E-85,0.3718345,0.921,0.693,1.05E-80,6,VKORC1
CAST1,7.77E-85,0.339515,0.759,0.425,1.74E-80,6,CAST
YIPF2,2.07E-84,0.2728778,0.638,0.309,4.62E-80,6,YIPF2
MDH1,2.41E-84,0.3500639,0.883,0.634,5.39E-80,6,MDH1
GALNT10,2.72E-84,0.3299612,0.526,0.216,6.09E-80,6,GALNT10
ARG2,3.09E-84,0.3437627,0.459,0.165,6.92E-80,6,ARG2
P3H1,8.27E-84,0.2738529,0.634,0.299,1.85E-79,6,P3H1
NCKAP11,1.25E-83,0.2751459,0.716,0.347,2.79E-79,6,NCKAP1
IFI27L21,2.48E-83,0.2975544,0.807,0.455,5.55E-79,6,IFI27L2
COLEC11,3.17E-83,0.2804679,0.247,0.05,7.09E-79,6,COLEC11
MGST32,4.41E-83,0.3857222,0.981,0.856,9.86E-79,6,MGST3
TMEM591,5.12E-83,0.4037642,0.91,0.689,1.15E-78,6,TMEM59
TUBB2B1,6.70E-83,0.2693775,0.424,0.13,1.50E-78,6,TUBB2B
RTN41,1.13E-82,0.3742188,0.955,0.779,2.53E-78,6,RTN4
TNPO1,1.26E-82,0.3282382,0.822,0.515,2.83E-78,6,TNPO1
ATP6V1D,1.28E-82,0.2720084,0.764,0.462,2.88E-78,6,ATP6V1D
GLG1,2.84E-82,0.29739,0.76,0.432,6.36E-78,6,GLG1
RERE,5.21E-82,0.2905031,0.734,0.396,1.17E-77,6,RERE
MAN1A1,6.21E-82,0.3520328,0.571,0.253,1.39E-77,6,MAN1A1
COPS6,6.63E-82,0.3218416,0.928,0.696,1.48E-77,6,COPS6
FJX1,1.13E-81,0.257145,0.357,0.105,2.52E-77,6,FJX1
CYR611,1.13E-81,0.4912876,0.514,0.196,2.53E-77,6,CYR61
APOC11,3.32E-81,0.2574737,0.797,0.412,7.42E-77,6,APOC1
MYADM,8.24E-81,0.3170419,0.702,0.365,1.84E-76,6,MYADM
SELENOW1,1.50E-80,0.3905916,0.972,0.816,3.35E-76,6,SELENOW
MESD,2.22E-80,0.3197876,0.855,0.562,4.96E-76,6,MESD
RAB2A1,2.88E-80,0.3064044,0.941,0.737,6.45E-76,6,RAB2A
ARF51,2.93E-80,0.30261,0.848,0.575,6.55E-76,6,ARF5
BST21,6.54E-80,0.8853943,0.659,0.338,1.46E-75,6,BST2
IL6ST1,1.32E-79,0.4113492,0.803,0.513,2.94E-75,6,IL6ST
MXD4,2.29E-79,0.3463341,0.733,0.408,5.12E-75,6,MXD4
SELENOS1,2.55E-79,0.3084331,0.822,0.538,5.71E-75,6,SELENOS
TYMP,2.58E-79,0.3945605,0.648,0.342,5.77E-75,6,TYMP
ANXA11,4.00E-79,0.383451,0.834,0.572,8.94E-75,6,ANXA11
PDIA41,5.95E-79,0.3452443,0.826,0.526,1.33E-74,6,PDIA4
ERGIC3,6.46E-79,0.3323209,0.926,0.721,1.45E-74,6,ERGIC3
SUCO,8.84E-79,0.2549887,0.548,0.233,1.98E-74,6,SUCO
SKP2,1.23E-78,0.269581,0.559,0.25,2.75E-74,6,SKP2
TECR,1.67E-78,0.3450428,0.895,0.646,3.73E-74,6,TECR
TMEM185A,7.79E-78,0.3438699,0.552,0.239,1.74E-73,6,TMEM185A
YWHAQ,2.46E-77,0.3597169,0.943,0.809,5.51E-73,6,YWHAQ
ARL2BP,5.77E-77,0.3307089,0.776,0.484,1.29E-72,6,ARL2BP
PRDX62,1.42E-76,0.3019723,0.99,0.915,3.19E-72,6,PRDX6
PRDX4,4.56E-76,0.3804566,0.922,0.683,1.02E-71,6,PRDX4
RBMS11,7.90E-76,0.2537607,0.864,0.553,1.77E-71,6,RBMS1
CHSY1,9.54E-76,0.3053547,0.536,0.238,2.13E-71,6,CHSY1
MAGED21,1.56E-75,0.3289985,0.945,0.733,3.49E-71,6,MAGED2
JADE1,4.57E-75,0.329407,0.638,0.321,1.02E-70,6,JADE1
ARF41,1.87E-74,0.3140419,0.919,0.719,4.20E-70,6,ARF4
PRKCSH,2.83E-74,0.2956118,0.847,0.564,6.33E-70,6,PRKCSH
SLC5A3,5.62E-74,0.3277399,0.564,0.26,1.26E-69,6,SLC5A3
CLDN6,1.07E-73,0.4127707,0.183,0.031,2.40E-69,6,CLDN6
TTC3,1.31E-73,0.3865261,0.897,0.654,2.94E-69,6,TTC3
ITGB11,1.82E-73,0.350126,0.953,0.736,4.07E-69,6,ITGB1
ACTG11,1.91E-73,0.3842985,0.998,0.968,4.26E-69,6,ACTG1
FAM177A1,9.53E-73,0.344623,0.841,0.591,2.13E-68,6,FAM177A1
ISYNA1,1.28E-72,0.4755082,0.791,0.506,2.86E-68,6,ISYNA1
MLF2,1.28E-72,0.3227923,0.891,0.651,2.87E-68,6,MLF2
YIPF31,1.87E-72,0.3026742,0.809,0.541,4.18E-68,6,YIPF3
HDLBP,6.21E-71,0.3136894,0.943,0.718,1.39E-66,6,HDLBP
UBE2E3,9.70E-71,0.4044461,0.947,0.755,2.17E-66,6,UBE2E3
CTSB1,1.06E-70,0.2836745,0.802,0.481,2.38E-66,6,CTSB
DPY30,3.18E-70,0.2704569,0.929,0.703,7.12E-66,6,DPY30
DYNLT11,4.64E-70,0.2935503,0.916,0.748,1.04E-65,6,DYNLT1
CALR,4.68E-70,0.3816197,0.983,0.825,1.05E-65,6,CALR
TLE3,4.99E-70,0.2743728,0.522,0.233,1.12E-65,6,TLE3
PRR5,1.62E-69,0.288937,0.607,0.312,3.62E-65,6,PRR5
CDIPT,1.99E-69,0.2963404,0.716,0.418,4.45E-65,6,CDIPT
OGFRL1,2.05E-69,0.3699048,0.474,0.201,4.58E-65,6,OGFRL1
TCEAL41,2.21E-69,0.2706696,0.855,0.561,4.94E-65,6,TCEAL4
NUCB11,2.72E-69,0.2809041,0.798,0.517,6.08E-65,6,NUCB1
RELN,3.27E-69,0.2512581,0.302,0.085,7.31E-65,6,RELN
AFDN1,3.42E-69,0.2987548,0.791,0.482,7.65E-65,6,AFDN
PTTG1IP2,4.06E-69,0.2986823,0.912,0.664,9.08E-65,6,PTTG1IP
CRELD2,5.56E-69,0.2648517,0.648,0.344,1.24E-64,6,CRELD2
IKBIP1,1.04E-68,0.2761437,0.652,0.357,2.32E-64,6,IKBIP
TUBA1A1,1.15E-68,0.4896104,0.886,0.644,2.58E-64,6,TUBA1A
RGS2,9.01E-68,0.4223667,0.331,0.103,2.02E-63,6,RGS2
AAMDC1,9.06E-68,0.2555845,0.831,0.539,2.03E-63,6,AAMDC
IFITM31,2.83E-67,0.3840022,0.986,0.857,6.33E-63,6,IFITM3
NDUFC21,5.05E-67,0.2857753,0.972,0.829,1.13E-62,6,NDUFC2
LPP1,6.16E-67,0.2584851,0.617,0.305,1.38E-62,6,LPP
LY6E1,7.26E-67,0.4325125,0.967,0.738,1.63E-62,6,LY6E
RARS,1.22E-66,0.2519156,0.745,0.45,2.73E-62,6,RARS
PBDC1,3.42E-66,0.2556476,0.691,0.39,7.64E-62,6,PBDC1
TAX1BP31,4.11E-66,0.2946145,0.869,0.612,9.20E-62,6,TAX1BP3
PTOV1,5.01E-66,0.2867673,0.84,0.588,1.12E-61,6,PTOV1
PLIN2,6.74E-66,0.332096,0.803,0.486,1.51E-61,6,PLIN2
GALNT1,1.35E-65,0.3393873,0.793,0.509,3.02E-61,6,GALNT1
IMPAD1,1.36E-65,0.2675555,0.586,0.294,3.05E-61,6,IMPAD1
EML4,1.49E-65,0.2728707,0.64,0.344,3.34E-61,6,EML4
MORF4L1,1.52E-65,0.2570998,0.983,0.901,3.39E-61,6,MORF4L1
TRAPPC11,2.89E-65,0.2847884,0.952,0.801,6.46E-61,6,TRAPPC1
TMEM179B,1.12E-64,0.2567652,0.79,0.518,2.52E-60,6,TMEM179B
LMNA1,3.14E-64,0.3048332,0.833,0.539,7.03E-60,6,LMNA
TCEAL81,3.74E-64,0.2793254,0.903,0.697,8.36E-60,6,TCEAL8
SEC61G,1.15E-63,0.2871044,0.986,0.925,2.58E-59,6,SEC61G
LGR4,1.47E-63,0.2600802,0.466,0.193,3.30E-59,6,LGR4
GADD45G,2.22E-63,0.2500079,0.34,0.112,4.97E-59,6,GADD45G
C1orf122,3.39E-63,0.3275771,0.905,0.697,7.58E-59,6,C1orf122
POSTN,7.82E-63,0.4697745,0.219,0.05,1.75E-58,6,POSTN
PTMS1,8.18E-63,0.3225486,0.96,0.744,1.83E-58,6,PTMS
ATRAID1,1.82E-62,0.2941226,0.89,0.698,4.07E-58,6,ATRAID
ART4,3.74E-62,0.2515329,0.386,0.143,8.36E-58,6,ART4
PGRMC11,4.31E-62,0.261969,0.829,0.55,9.65E-58,6,PGRMC1
PKN2,8.53E-62,0.2560498,0.662,0.365,1.91E-57,6,PKN2
RPN2,8.59E-62,0.2853106,0.857,0.621,1.92E-57,6,RPN2
TSPAN41,2.30E-61,0.2899372,0.745,0.46,5.14E-57,6,TSPAN4
CNIH41,3.69E-61,0.2612598,0.831,0.592,8.26E-57,6,CNIH4
TIMP11,4.10E-61,0.4315025,0.981,0.846,9.17E-57,6,TIMP1
TM2D21,4.10E-61,0.2632239,0.703,0.425,9.18E-57,6,TM2D2
YIF1A,4.39E-61,0.2966974,0.845,0.62,9.82E-57,6,YIF1A
TBX3,4.82E-61,0.2604838,0.364,0.129,1.08E-56,6,TBX3
PSAP1,1.71E-60,0.2752007,0.91,0.704,3.82E-56,6,PSAP
HM131,1.94E-60,0.2861292,0.845,0.605,4.35E-56,6,HM13
NEU1,2.26E-60,0.2696442,0.69,0.413,5.06E-56,6,NEU1
KRTCAP21,2.26E-60,0.2687746,0.917,0.694,5.07E-56,6,KRTCAP2
IDH1,6.45E-60,0.3226645,0.731,0.449,1.44E-55,6,IDH1
TSPAN3,9.08E-60,0.2523948,0.683,0.393,2.03E-55,6,TSPAN3
MVB12A1,9.08E-60,0.2514953,0.753,0.473,2.03E-55,6,MVB12A
PRTG2,9.84E-60,0.5543813,0.607,0.328,2.20E-55,6,PRTG
CLDND1,1.13E-59,0.2535052,0.653,0.383,2.53E-55,6,CLDND1
BRI31,1.40E-59,0.3343448,0.948,0.767,3.14E-55,6,BRI3
C12orf75,1.63E-59,0.5137539,0.678,0.415,3.65E-55,6,C12orf75
PPP2R1A1,1.82E-59,0.2553371,0.869,0.617,4.07E-55,6,PPP2R1A
CST3,3.46E-59,0.526118,0.955,0.798,7.74E-55,6,CST3
PHPT11,4.87E-59,0.3009073,0.976,0.869,1.09E-54,6,PHPT1
TRAM1,5.33E-59,0.2574699,0.831,0.579,1.19E-54,6,TRAM1
SSR3,1.60E-58,0.303317,0.94,0.772,3.58E-54,6,SSR3
DYNLL11,2.61E-58,0.3301683,0.997,0.936,5.85E-54,6,DYNLL1
TUBB,3.37E-58,0.372604,0.997,0.947,7.55E-54,6,TUBB
CTSD1,4.82E-58,0.2953313,0.914,0.681,1.08E-53,6,CTSD
MAP1B,6.99E-58,0.4413696,0.816,0.57,1.56E-53,6,MAP1B
HES1,1.86E-57,0.2604867,0.533,0.237,4.17E-53,6,HES1
ATP5F1A,9.36E-57,0.2983982,0.978,0.871,2.10E-52,6,ATP5F1A
CLTB,1.66E-56,0.2653992,0.836,0.623,3.73E-52,6,CLTB
ZNHIT11,1.85E-56,0.267127,0.959,0.816,4.14E-52,6,ZNHIT1
ID22,4.86E-56,0.4763791,0.733,0.432,1.09E-51,6,ID2
NDUFA121,5.48E-56,0.2580826,0.943,0.764,1.23E-51,6,NDUFA12
RNH1,5.55E-56,0.2609229,0.814,0.581,1.24E-51,6,RNH1
HOXB6,6.19E-56,0.3125558,0.507,0.237,1.38E-51,6,HOXB6
RHOC2,8.38E-55,0.2645477,0.955,0.785,1.87E-50,6,RHOC
HNRNPDL1,1.60E-54,0.2852703,0.981,0.844,3.58E-50,6,HNRNPDL
ACADVL,3.48E-54,0.2713444,0.795,0.554,7.78E-50,6,ACADVL
CHD9,1.02E-53,0.3226889,0.85,0.623,2.27E-49,6,CHD9
CD242,1.53E-53,0.5257391,0.759,0.434,3.43E-49,6,CD24
TCF25,2.59E-53,0.2624511,0.94,0.736,5.80E-49,6,TCF25
AKAP9,7.45E-53,0.2696392,0.816,0.555,1.67E-48,6,AKAP9
CTHRC1,7.88E-53,0.4586421,0.569,0.295,1.76E-48,6,CTHRC1
HAPLN11,1.93E-52,0.2839441,0.731,0.419,4.32E-48,6,HAPLN1
BCL7C,3.93E-52,0.2555057,0.829,0.583,8.80E-48,6,BCL7C
SPINT21,5.17E-52,0.4399568,0.691,0.445,1.16E-47,6,SPINT2
H2AFJ,9.28E-52,0.4501876,0.938,0.826,2.08E-47,6,H2AFJ
GLUL1,3.12E-51,0.4447343,0.928,0.747,6.98E-47,6,GLUL
KLF6,6.20E-51,0.4303574,0.703,0.453,1.39E-46,6,KLF6
UBXN41,8.07E-51,0.2663438,0.884,0.684,1.81E-46,6,UBXN4
FIS11,1.40E-50,0.2843665,0.955,0.825,3.13E-46,6,FIS1
TAGLN,3.34E-50,0.7740536,0.648,0.415,7.48E-46,6,TAGLN
CSRP11,5.87E-50,0.2982104,0.731,0.484,1.31E-45,6,CSRP1
FKBP2,3.96E-49,0.2636409,0.952,0.774,8.87E-45,6,FKBP2
TSPAN151,1.49E-48,0.2562018,0.559,0.303,3.34E-44,6,TSPAN15
CD441,2.59E-48,0.4279013,0.602,0.339,5.79E-44,6,CD44
BSG1,3.15E-48,0.2961979,0.991,0.831,7.05E-44,6,BSG
GLS,1.81E-47,0.3043092,0.619,0.39,4.04E-43,6,GLS
PHLDA31,6.23E-47,0.2780082,0.443,0.209,1.39E-42,6,PHLDA3
TMEM14A,9.36E-47,0.2525498,0.598,0.361,2.09E-42,6,TMEM14A
NREP,2.21E-46,0.2677908,0.771,0.528,4.94E-42,6,NREP
RHOBTB31,3.09E-46,0.3438941,0.771,0.542,6.91E-42,6,RHOBTB3
CALM2,6.21E-46,0.3041695,0.981,0.921,1.39E-41,6,CALM2
SLC16A11,3.87E-45,0.2732834,0.622,0.371,8.66E-41,6,SLC16A1
TUBB61,2.16E-44,0.2659639,0.747,0.497,4.84E-40,6,TUBB6
PTCH1,4.69E-44,0.2775165,0.26,0.091,1.05E-39,6,PTCH1
N4BP2L2,2.84E-43,0.2674827,0.878,0.645,6.36E-39,6,N4BP2L2
PPP1CB,3.88E-43,0.273539,0.843,0.64,8.68E-39,6,PPP1CB
RABL6,4.00E-42,0.2530475,0.876,0.653,8.94E-38,6,RABL6
FOS,7.83E-41,0.3482259,0.891,0.633,1.75E-36,6,FOS
HLA.A1,4.01E-39,0.253013,0.79,0.562,8.97E-35,6,HLA.A
APLNR2,2.67E-38,0.3574744,0.371,0.169,5.98E-34,6,APLNR
SOX42,3.97E-37,0.4518268,0.816,0.605,8.89E-33,6,SOX4
MALAT11,2.13E-34,0.3220853,1,0.999,4.77E-30,6,MALAT1
MT2A1,1.41E-33,0.5772499,0.857,0.748,3.16E-29,6,MT2A
ANXA32,9.35E-32,0.3116747,0.598,0.405,2.09E-27,6,ANXA3
ARL6IP11,1.53E-28,0.2530059,0.805,0.611,3.43E-24,6,ARL6IP1
SST,1.87E-27,0.6732512,0.169,0.057,4.17E-23,6,SST
CYB5A,7.01E-26,0.3665969,0.75,0.58,1.57E-21,6,CYB5A
KPNA2,1.32E-24,0.336303,0.79,0.645,2.96E-20,6,KPNA2
PTTG1,7.52E-22,0.3767885,0.834,0.693,1.68E-17,6,PTTG1
FAM89A1,3.11E-21,0.2758798,0.372,0.23,6.96E-17,6,FAM89A
S100A9,0.00E+00,3.2601113,0.868,0.195,0.00E+00,7,S100A9
AZU1,0.00E+00,1.4634968,0.535,0.061,0.00E+00,7,AZU1
LST11,0.00E+00,1.3768255,0.958,0.28,0.00E+00,7,LST1
CORO1A1,0.00E+00,1.2755347,0.96,0.245,0.00E+00,7,CORO1A
MS4A3,0.00E+00,1.1965328,0.722,0.085,0.00E+00,7,MS4A3
S100B,0.00E+00,1.1848171,0.73,0.051,0.00E+00,7,S100B
SPI11,0.00E+00,1.0569317,0.966,0.253,0.00E+00,7,SPI1
PLAC8,0.00E+00,0.9787611,0.677,0.052,0.00E+00,7,PLAC8
LCP11,0.00E+00,0.9553523,0.936,0.209,0.00E+00,7,LCP1
RNASE2,0.00E+00,0.7824044,0.705,0.017,0.00E+00,7,RNASE2
C1orf162,0.00E+00,0.7287884,0.713,0.03,0.00E+00,7,C1orf162
ITGB2,0.00E+00,0.7008453,0.809,0.098,0.00E+00,7,ITGB2
NKG7,0.00E+00,0.6033612,0.654,0.052,0.00E+00,7,NKG7
PRAM1,0.00E+00,0.5993954,0.741,0.06,0.00E+00,7,PRAM1
CEBPA,0.00E+00,0.5913213,0.709,0.053,0.00E+00,7,CEBPA
LAIR11,0.00E+00,0.5436265,0.726,0.081,0.00E+00,7,LAIR1
CD48,0.00E+00,0.5203456,0.684,0.053,0.00E+00,7,CD48
MATK1,0.00E+00,0.4926509,0.724,0.12,0.00E+00,7,MATK
MS4A6A,0.00E+00,0.4689685,0.289,0.011,0.00E+00,7,MS4A6A
CEBPE,0.00E+00,0.4661365,0.457,0.013,0.00E+00,7,CEBPE
RGL4,0.00E+00,0.4601965,0.422,0.021,0.00E+00,7,RGL4
NCF1,0.00E+00,0.4477628,0.369,0.014,0.00E+00,7,NCF1
SNX10,0.00E+00,0.4278983,0.675,0.044,0.00E+00,7,SNX10
CFD,0.00E+00,0.4180381,0.52,0.057,0.00E+00,7,CFD
LAT2,0.00E+00,0.4143788,0.607,0.081,0.00E+00,7,LAT2
HRH2,0.00E+00,0.4077041,0.522,0.015,0.00E+00,7,HRH2
TRGC1,0.00E+00,0.4038477,0.543,0.017,0.00E+00,7,TRGC1
KIAA0930,0.00E+00,0.4016493,0.682,0.086,0.00E+00,7,KIAA0930
CSF3R,0.00E+00,0.4010142,0.603,0.055,0.00E+00,7,CSF3R
IL6R,0.00E+00,0.3554899,0.599,0.055,0.00E+00,7,IL6R
GLIPR1,0.00E+00,0.3542485,0.561,0.06,0.00E+00,7,GLIPR1
CYBB,0.00E+00,0.3378035,0.382,0.008,0.00E+00,7,CYBB
CSF1R,0.00E+00,0.3342631,0.556,0.054,0.00E+00,7,CSF1R
ASGR2,0.00E+00,0.3306668,0.344,0.015,0.00E+00,7,ASGR2
EVI2B,0.00E+00,0.3207863,0.503,0.032,0.00E+00,7,EVI2B
RETN,0.00E+00,0.317955,0.248,0.006,0.00E+00,7,RETN
PARVG,0.00E+00,0.3058805,0.611,0.061,0.00E+00,7,PARVG
CD302,0.00E+00,0.2937937,0.635,0.079,0.00E+00,7,CD302
CSTA,0.00E+00,0.2805292,0.321,0.003,0.00E+00,7,CSTA
TSPOAP1,0.00E+00,0.2777085,0.433,0.018,0.00E+00,7,TSPOAP1
DOCK8,0.00E+00,0.263248,0.544,0.059,0.00E+00,7,DOCK8
CEBPD1,7.67E-308,0.7300735,0.87,0.202,1.72E-303,7,CEBPD
FCN1,1.33E-306,0.4047916,0.214,0.004,2.98E-302,7,FCN1
S100P,4.03E-306,0.4409011,0.397,0.031,9.03E-302,7,S100P
RAB27A,1.77E-302,0.3290829,0.652,0.101,3.95E-298,7,RAB27A
PYCARD1,3.32E-299,1.0563914,0.947,0.329,7.43E-295,7,PYCARD
MNDA,6.13E-297,0.3232594,0.187,0.002,1.37E-292,7,MNDA
LSP1,1.91E-289,0.6255528,0.359,0.026,4.28E-285,7,LSP1
MPO,1.31E-285,2.8866218,0.832,0.254,2.93E-281,7,MPO
JAML,1.04E-284,0.4472774,0.465,0.049,2.33E-280,7,JAML
CTSG,2.53E-283,0.2753116,0.302,0.017,5.67E-279,7,CTSG
PLPPR3,5.79E-283,0.4216804,0.543,0.075,1.30E-278,7,PLPPR3
LYZ,5.73E-282,2.2801855,0.854,0.252,1.28E-277,7,LYZ
THEMIS2,4.38E-281,0.2735887,0.49,0.057,9.79E-277,7,THEMIS2
CALHM6,3.80E-278,0.3785734,0.611,0.096,8.51E-274,7,CALHM6
RFLNB2,2.49E-277,1.2030077,0.896,0.313,5.57E-273,7,RFLNB
RASSF2,1.12E-274,0.269586,0.592,0.089,2.50E-270,7,RASSF2
VSIR,4.53E-274,0.4542395,0.696,0.134,1.01E-269,7,VSIR
SUSD31,2.13E-273,0.6129796,0.847,0.212,4.77E-269,7,SUSD3
S100A8,3.52E-265,2.7224416,0.569,0.093,7.87E-261,7,S100A8
RASSF4,4.50E-265,0.2591849,0.427,0.044,1.01E-260,7,RASSF4
IMPA2,1.20E-264,0.3433299,0.688,0.129,2.68E-260,7,IMPA2
CD521,3.99E-246,0.6697504,0.631,0.113,8.92E-242,7,CD52
PRSS57,8.63E-245,0.3557823,0.342,0.029,1.93E-240,7,PRSS57
AIF12,1.86E-243,1.1374279,0.994,0.457,4.16E-239,7,AIF1
IL17RA,6.14E-243,0.3453627,0.616,0.113,1.37E-238,7,IL17RA
VAMP81,7.04E-239,1.037783,0.985,0.735,1.58E-234,7,VAMP8
TENT5A,4.34E-234,0.669243,0.707,0.174,9.71E-230,7,TENT5A
LYST,6.58E-234,0.4488589,0.682,0.153,1.47E-229,7,LYST
EFHD2,1.65E-233,0.4882612,0.813,0.241,3.69E-229,7,EFHD2
SAMHD1,5.38E-232,0.5329694,0.512,0.082,1.20E-227,7,SAMHD1
PRTN3,1.38E-228,2.7954233,0.673,0.169,3.08E-224,7,PRTN3
BRI3BP1,4.19E-224,0.4866905,0.817,0.24,9.37E-220,7,BRI3BP
SDF2L1,9.74E-217,1.1817134,0.955,0.61,2.18E-212,7,SDF2L1
IGFBP71,2.94E-212,0.5992099,0.805,0.249,6.57E-208,7,IGFBP7
CD53,1.17E-211,0.2605944,0.478,0.072,2.61E-207,7,CD53
GLRX,3.94E-210,0.8656212,0.949,0.438,8.83E-206,7,GLRX
HCK,2.53E-207,0.2624646,0.456,0.066,5.66E-203,7,HCK
SH3KBP1,1.26E-202,0.3540751,0.766,0.203,2.83E-198,7,SH3KBP1
TMIGD3,8.87E-195,0.3087825,0.268,0.022,1.98E-190,7,TMIGD3
ARHGAP91,1.99E-193,0.2868422,0.654,0.148,4.45E-189,7,ARHGAP9
PAK1,1.14E-188,0.4882817,0.718,0.211,2.55E-184,7,PAK1
RGS191,1.99E-186,0.5741142,0.881,0.356,4.46E-182,7,RGS19
PTPN71,4.68E-183,0.4712716,0.851,0.286,1.05E-178,7,PTPN7
RILPL2,3.85E-180,0.5590953,0.9,0.394,8.62E-176,7,RILPL2
RAB5IF,2.23E-176,0.6613865,0.966,0.7,4.98E-172,7,RAB5IF
RNASET21,4.16E-174,0.4510053,0.817,0.298,9.31E-170,7,RNASET2
AGPAT2,4.51E-173,0.5596787,0.881,0.408,1.01E-168,7,AGPAT2
RPS161,2.97E-172,0.4126009,0.998,0.984,6.64E-168,7,RPS16
SAPCD2,4.20E-164,0.2868813,0.535,0.119,9.39E-160,7,SAPCD2
MSRB1,5.44E-162,0.6569679,0.851,0.378,1.22E-157,7,MSRB1
HCLS1,6.01E-162,0.2864785,0.605,0.152,1.34E-157,7,HCLS1
TYROBP3,1.53E-161,0.7845234,0.955,0.404,3.43E-157,7,TYROBP
RPL411,8.62E-160,0.3773322,1,1,1.93E-155,7,RPL41
GAL,1.71E-159,0.3567951,0.552,0.13,3.82E-155,7,GAL
RUNX31,7.04E-159,0.255368,0.34,0.047,1.57E-154,7,RUNX3
TSPO,3.06E-158,0.8073688,0.762,0.284,6.84E-154,7,TSPO
CYTL11,7.17E-158,0.5535783,0.694,0.205,1.60E-153,7,CYTL1
